customer,orders,revenue,active,signup_date,last_seen,notes
Acme,1,49.5,true,2024-01-01,2025-01-01T00:00:00.000000,priority
Beta,8,66.85,false,2024-02-02,2025-02-02T01:07:00.000000,""
Gamma,15,84.2,,2024-03-03,2025-03-03T02:14:00.000000,upsell candidate
Delta,22,101.55,true,2024-04-04,2025-01-04T03:21:00.000000,new
Echo,29,118.9,false,2024-05-05,2025-02-05T04:28:00.000000,
Foxtrot,36,137.35,,2024-06-06,2025-03-06T05:35:00.000000,follow-up
Helix,6,154.7,true,2024-07-07,2025-01-07T06:42:00.000000,priority
Iota,13,172.05,false,2024-08-08,2025-02-08T07:49:00.000000,""
Acme,20,189.4,,2024-09-09,2025-03-09T08:56:00.000000,upsell candidate
Beta,27,206.75,true,2024-10-10,2025-01-10T09:03:00.000000,new
Gamma,34,225.2,false,2024-11-11,2025-02-11T10:10:00.000000,
Delta,4,242.55,,2024-12-12,2025-03-12T11:17:00.000000,follow-up
Echo,11,259.9,true,2024-01-13,2025-01-13T12:24:00.000000,priority
Foxtrot,18,277.25,false,2024-02-14,2025-02-14T13:31:00.000000,""
Helix,25,294.6,,2024-03-15,2025-03-15T14:38:00.000000,upsell candidate
Iota,32,313.05,true,2024-04-16,2025-01-16T15:45:00.000000,new
Acme,2,330.4,false,2024-05-17,2025-02-17T16:52:00.000000,
Beta,9,347.75,,2024-06-18,2025-03-18T17:59:00.000000,follow-up
Gamma,16,365.1,true,2024-07-19,2025-01-19T18:06:00.000000,priority
Delta,23,382.45,false,2024-08-20,2025-02-20T19:13:00.000000,""
Echo,30,400.9,,2024-09-21,2025-03-21T20:20:00.000000,upsell candidate
Foxtrot,37,418.25,true,2024-10-22,2025-01-22T21:27:00.000000,new
Helix,7,435.6,false,2024-11-23,2025-02-23T22:34:00.000000,
Iota,14,53.9,,2024-12-24,2025-03-24T23:41:00.000000,follow-up
Acme,21,71.25,true,2024-01-25,2025-01-25T00:48:00.000000,priority
Beta,28,89.7,false,2024-02-26,2025-02-26T01:55:00.000000,""
Gamma,35,107.05,,2024-03-27,2025-03-27T02:02:00.000000,upsell candidate
Delta,5,124.4,true,2024-04-01,2025-01-01T03:09:00.000000,new
Echo,12,141.75,false,2024-05-02,2025-02-02T04:16:00.000000,
Foxtrot,19,159.1,,2024-06-03,2025-03-03T05:23:00.000000,follow-up
Helix,26,177.55,true,2024-07-04,2025-01-04T06:30:00.000000,priority
Iota,33,194.9,false,2024-08-05,2025-02-05T07:37:00.000000,""
Acme,3,212.25,,2024-09-06,2025-03-06T08:44:00.000000,upsell candidate
Beta,10,229.6,true,2024-10-07,2025-01-07T09:51:00.000000,new
Gamma,17,246.95,false,2024-11-08,2025-02-08T10:58:00.000000,
Delta,24,265.4,,2024-12-09,2025-03-09T11:05:00.000000,follow-up
Echo,31,282.75,true,2024-01-10,2025-01-10T12:12:00.000000,priority
Foxtrot,1,300.1,false,2024-02-11,2025-02-11T13:19:00.000000,""
Helix,8,317.45,,2024-03-12,2025-03-12T14:26:00.000000,upsell candidate
Iota,15,334.8,true,2024-04-13,2025-01-13T15:33:00.000000,new
Acme,22,353.25,false,2024-05-14,2025-02-14T16:40:00.000000,
Beta,29,370.6,,2024-06-15,2025-03-15T17:47:00.000000,follow-up
